bodyweight_kg,exercise,weight_kg,notes
63.6,Flat Dumbbell Press,30.0,"Approximate current working weight; around 7 reps mentioned"
63.6,Incline Dumbbell Press,26.0,"3 sets of 8 reps, strong upper chest drive"
63.5,Standing Dumbbell Overhead Press,22.5,"Strict form overhead press, 4 sets of 8"
63.5,Incline Dumbbell Row,32.5,"Heavy pull focus, 3 sets of 10 reps"
63.4,Weighted Pull-ups,15.0,"Bodyweight + 15kg plate, clean chin over bar"
63.4,Dumbbell Romanian Deadlift,35.0,"Posterior chain focus, controlled hinge"
63.3,Bulgarian Split Squats,24.0,"24kg per hand, 3 sets of 10 per leg"
63.6,Flat Dumbbell Press,30.0,"Repeat set with 30kg DBs, 8 reps hitting failure"
63.2,Dumbbell Lateral Raises,12.5,"Strict side delt isolation, 4 sets of 12"
63.6,Dumbbell Triceps Extensions,20.0,
